food_code,foodex2_code,foodex2_code_description,user_defined_food_group,fao_who_gift_food_group_code,fao_who_gift_food_group_description,fao_who_gift_nutrition_sub_group_code,fao_who_gift_nutrition_sub_group_description,fct_food_name,survey_base_terms_and_food_items,reference_food_code_for_food_composition,scientific_name,fct_source_description,yield_factor,yield_source_descr,retention_factor,retention_source_description,additional_details,additional_details_on_nutrients,nut_1,nut_2,nut_3,nut_4,nut_5,nut_6,nut_7,nut_8,nut_9,nut_10,nut_11,nut_12,nut_13,nut_14,nut_15,nut_16,nut_17,nut_18,nut_19,nut_20,nut_21,nut_22,nut_23,nut_24,nut_25,nut_26,nut_27,nut_28,nut_29,nut_30,nut_31,nut_32,nut_33,nut_34,nut_35,nut_36,nut_37,nut_38,nut_39,nut_40,nut_41,nut_42,nut_43,nut_44,nut_45,nut_46,nut_47,nut_48,nut_49,nut_50,nut_51,nut_52,nut_53,nut_54,nut_55,nut_56,nut_57,nut_58,nut_59,nut_60,nut_61,nut_62,nut_63,nut_64,nut_65,nut_66,nut_67,nut_68,nut_69,nut_70,nut_71,nut_72,nut_73,nut_74,nut_75,nut_76,nut_77,nut_78,nut_79,nut_80,nut_81,nut_82,nut_83,nut_84,nut_85,nut_86,nut_87,nut_88,nut_89,nut_90,nut_91,nut_92,nut_93,nut_94,nut_95,nut_96,nut_97,nut_98,nut_99,nut_100,nut_101,nut_102,nut_103,nut_104,nut_105,nut_106,nut_107,nut_108,nut_109,nut_110,nut_111,nut_112,nut_113,nut_114,nut_115,nut_116,nut_117,nut_118,nut_119,nut_120,nut_121,nut_122,nut_123,nut_124,nut_125,nut_126,nut_127,nut_128,nut_129,nut_130,nut_131,nut_132,nut_133,nut_134,nut_135,nut_136,nut_137,nut_138,nut_139,nut_140,nut_141,nut_142,nut_143,nut_144,nut_145,nut_146,nut_147,nut_148,nut_149,nut_150,nut_151,nut_152
63,,,,1,Cereals and their products (1),,,"Riz,blanc,poli,bouilli*(sans sel),egoutte","Rice,white,whole grain,refined,raw",,,2019 WAFCT,,,,,,,118,70.3,2.3,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,n/a,0.07,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,26.4,0.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,3,0.3,8,57,16,1,0.4,0.08,n/a,n/a,n/a,46,n/a,0,0,n/a,n/a,0,0,0,0,0,n/a,n/a,0.02,n/a,0,0,0.19,0,n/a,n/a,n/a,n/a,0.01,0.01,0.3,0,n/a,0.02,2,0,2,2,n/a,n/a,0,n/a,0,n/a,n/a,n/a,0,n/a,n/a
64,,,,4,Milk and milk products (4),,,"Oignon,frais,bouilli*(partie d'une recette)","Onion,fresh,raw",,,2019 WAFCT,,,,,,,46,87,1.4,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,n/a,0.05,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,8.7,2.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,30,0.8,15,53,197,12,0.35,0.17,n/a,n/a,n/a,5,n/a,0,0,n/a,n/a,0,0,0,0,0,n/a,n/a,0.07,n/a,0.07,0,0,0,n/a,n/a,n/a,n/a,0.02,0.05,0.2,0.5,n/a,0.08,14,0,14,14,n/a,n/a,0,n/a,12,n/a,n/a,n/a,0,n/a,n/a
65,,,,4,Milk and milk products (4),,,"Concentree de tomate,sans sel","Tomato,concentrated (paste),raw",,,2019 WAFCT,,,,,,,80,76.2,3.2,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,0.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.21,n/a,0.2,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,13.6,4.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.4,31,0.8,47,73,862,31,0.74,0.54,n/a,n/a,n/a,n/a,n/a,175,349,n/a,n/a,0,2090,0,61,0,n/a,n/a,4,n/a,4,0,0.63,0,n/a,n/a,n/a,n/a,0.14,0.17,2.8,3.2,n/a,0.22,21,0,21,21,n/a,n/a,0,n/a,14,n/a,n/a,n/a,0,n/a,n/a
66,,,,4,Milk and milk products (4),,,"Tomate,rouge,mure,bouillie(partie d'une recette)","Tomato,ripe,whole,fresh,raw",,,2019 WAFCT,,,,,,,28,91.5,1.4,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,0.09,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,4.4,1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,17,0.9,17,42,301,16,0.29,0.08,n/a,n/a,n/a,3,n/a,51,101,n/a,n/a,0,608,0,0,0,n/a,n/a,0.34,n/a,0.24,0,0.96,0,n/a,n/a,n/a,n/a,0.07,0.05,0.7,0.8,n/a,0.08,20,0,20,20,n/a,n/a,0,n/a,29,n/a,n/a,n/a,0,n/a,n/a
67,,,,11,Fats and oils (11),,,"Huile vegetale,non fortifiee","Vegetable oil,unspecified,raw",,,2019 WAFCT,,,,,,,900,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,14.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,49.6,n/a,49.2,n/a,n/a,n/a,n/a,n/a,0.42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1E-16,0,-1E-16,0,0,0,0,0,0,n/a,n/a,n/a,0,n/a,0,0,n/a,n/a,0,0,0,0,0,n/a,n/a,22,n/a,20,0.12,26,1.5,n/a,n/a,n/a,n/a,0,0,0,0,n/a,0,0,0,0,0,n/a,n/a,0,n/a,0,n/a,n/a,n/a,0,n/a,n/a
69,,,,16,Food supplements and similar (16),,,Sel,"Salt,unspecified,raw",,,2019 WAFCT,,,,,,,0,0.5,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,99.8,216,1.3,39,5,5,38800,0.1,0.08,n/a,n/a,n/a,0,n/a,0,0,0,0,0,0,0,0,0,n/a,n/a,0,n/a,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0,n/a,0,0,0,0,0,n/a,n/a,0,0,0,n/a,n/a,n/a,0,n/a,n/a
123,,,,1,Cereals and their products (1),,,,Rice,124,,n/a,,,,,,,344,12.1,7,89,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.6,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.22,n/a,0.21,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,75.9,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,14,1.9,46,168,181,3,1.45,0.3,n/a,n/a,n/a,504,n/a,0,0,n/a,n/a,0,0,0,0,0,n/a,n/a,0.06,n/a,0,0,0.56,0,n/a,n/a,n/a,n/a,0.12,0.03,1.9,3.3,n/a,0.25,16,0,16,16,n/a,n/a,0,n/a,0,n/a,n/a,n/a,0,n/a,n/a
187,,,,7,Meat and meat products (7),,,,Meat,188,,n/a,,,,,,,239,61.3,18.6,215,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.2,8.51,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,0.29,n/a,n/a,n/a,n/a,n/a,0.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9,15,1.2,20,164,290,91,3.4,0.24,n/a,n/a,n/a,0,n/a,16,18,n/a,n/a,16,11,0,0,0.5,n/a,n/a,0.5,n/a,0.5,0,0,0,n/a,n/a,n/a,n/a,0.1,0.11,4.1,7.7,n/a,0.48,10,0,10,10,n/a,n/a,1.1,n/a,0,n/a,n/a,n/a,0,n/a,n/a
412,,,,16,Food supplements and similar (16),,,"Piment, frais, cru",Chilli pepper,,,2019 WAFCT,,,,,,,47,86,1.8,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.3,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17,n/a,0.15,n/a,n/a,n/a,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,7.5,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9,16,1.3,28,39,345,2,0.3,0.22,n/a,n/a,n/a,13,n/a,46,92,n/a,n/a,0,555,74,239,0,n/a,n/a,0.14,n/a,0.04,0,1.05,0,n/a,n/a,n/a,n/a,0.05,0.03,1.1,1.5,n/a,0.28,15,0,15,15,n/a,n/a,0,n/a,132,n/a,n/a,n/a,0,n/a,n/a
416,,,,16,Food supplements and similar (16),,,"Piment rouge, séché","Chilli pepper,whole,red,dried,raw",,,2019 WAFCT,,,,,,,347,8,15,87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.5,2.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.49,n/a,7.03,n/a,n/a,n/a,n/a,n/a,0.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,21.2,31.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.2,150,12.6,183,256,2040,20,1.2,0.94,n/a,n/a,n/a,264,n/a,839,1680,n/a,n/a,0,10100,1050,2540,0,n/a,n/a,0.98,n/a,0.69,0,2.9,0,n/a,n/a,n/a,n/a,0.35,0.85,8.8,10,n/a,0.42,19,0,19,19,n/a,n/a,0,n/a,0,n/a,n/a,n/a,0,n/a,n/a
422,,,,16,Food supplements and similar (16),,,Sel,Salt,,,2019 WAFCT,,,,,,,0,0.5,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,99.8,216,1.3,39,5,5,38800,0.1,0.08,n/a,n/a,n/a,0,n/a,0,0,n/a,n/a,0,0,0,0,0,n/a,n/a,0,n/a,0,0,0,0,n/a,n/a,n/a,n/a,0,0,0,0,n/a,0,0,0,0,0,n/a,n/a,0,n/a,0,n/a,n/a,n/a,0,n/a,n/a
429,,,,16,Food supplements and similar (16),,,"Cube de bouillon, bœuf, sec",Bouillon cube,,,2019 WAFCT,,,,,,,190,4.3,15.5,92,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.4,3.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.68,n/a,0.59,n/a,n/a,n/a,n/a,n/a,0.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,15.5,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.4,57,2,36,222,381,19000,0.47,0.35,n/a,n/a,n/a,0,n/a,1,2,n/a,n/a,0,12,0,0,0,n/a,n/a,1.9,n/a,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17,0.19,3.2,4.7,n/a,0.26,23,0,23,23,n/a,n/a,0.5,n/a,0,n/a,n/a,n/a,0,n/a,n/a
431,,,,16,Food supplements and similar (16),,,,"Bouillon cube,Maggi,raw",429,,n/a,,,,,,,190,4.3,15.5,92,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.4,3.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.68,n/a,0.59,n/a,n/a,n/a,n/a,n/a,0.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,15.5,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.4,57,2,36,222,381,19000,0.47,0.35,n/a,n/a,n/a,0,n/a,1,2,n/a,n/a,0,12,0,0,0,n/a,n/a,1.9,n/a,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17,0.19,3.2,4.7,n/a,0.26,23,0,23,23,n/a,n/a,0.5,n/a,0,n/a,n/a,n/a,0,n/a,n/a
